stype,p,ootype,propType,scnt,ocnt,cnt,min_sp,max_sp,avg_sp
reg2015:Procedure,reg2015:applies,epo:SubmissionTerm,object,1,1,1,1,1,1
reg2015:Procedure,rdf:type,reg2015:Procedure,object,1,1,1,1,1,1
epo:AccessTerms,epo:hasProcurementDocumentLandingPage,xsd:string,data,1,1,1,1,1,1
epo:AccessTerms,epo:hasSomeProcurementDocumentRestricted,xsd:string,data,1,1,1,1,1,1
epo:AccessTerms,rdf:type,epo:AccessTerms,object,1,1,1,1,1,1
epo:Address,epo:hasCityName,rdf:langString,data,1,1,1,1,1,1
epo:Address,epo:hasCountryCode,skos:Concept,object,1,1,1,1,1,1
epo:Address,epo:hasCountrySubentityCode,skos:Concept,object,1,1,1,1,1,1
epo:Address,epo:hasPostalZone,xsd:string,data,1,1,1,1,1,1
epo:Address,epo:hasStreetName,rdf:langString,data,1,1,1,1,1,1
epo:Address,rdf:type,epo:Address,object,1,1,1,1,1,1
epo:Buyer,reg2015:providesAdditionalInformationAboutProcurementProcedure,reg2015:Procedure,object,1,1,1,1,1,1
epo:Buyer,reg2015:receivesRequestsToParticipate,reg2015:Procedure,object,1,1,1,1,1,1
epo:Buyer,reg2015:receivesTenders,reg2015:Procedure,object,1,1,1,1,1,1
epo:Buyer,epo:has,epo:ContactPoint,object,1,1,1,1,1,1
epo:Buyer,epo:hasActivityDescription,rdf:langString,data,1,1,1,1,1,1
epo:Buyer,epo:hasBuyerLegalType,skos:Concept,object,1,1,1,1,1,1
epo:Buyer,epo:isResponsibleFor,epo:Procedure,object,1,1,1,1,1,1
epo:Buyer,epo:isRoleOf,epo:Organisation,object,1,1,1,1,1,1
epo:Buyer,rdf:type,epo:Buyer,object,1,1,1,1,1,1
epo:Channel,epo:hasURL,xsd:string,data,1,1,1,1,1,1
epo:Channel,rdf:type,epo:Channel,object,1,1,1,1,1,1
epo:ContactPoint,epo:hasDescription,xsd:string,data,1,1,1,1,1,1
epo:ContactPoint,epo:hasEmail,xsd:string,data,1,1,1,1,1,1
epo:ContactPoint,epo:hasFax,xsd:string,data,1,1,1,1,1,1
epo:ContactPoint,epo:hasInternetAddress,xsd:string,data,1,1,1,1,1,1
epo:ContactPoint,epo:hasTelephone,xsd:string,data,1,1,1,1,1,1
epo:ContactPoint,rdf:type,epo:ContactPoint,object,1,1,1,1,1,1
epo:Location,epo:hasPostalAddress,epo:Address,object,1,1,1,1,1,1
epo:Location,rdf:type,epo:Location,object,1,1,1,1,1,1
epo:Organisation,epo:hasLocation,epo:Location,object,1,1,1,1,1,1
epo:Organisation,epo:hasName,rdf:langString,data,1,1,1,1,1,1
epo:Organisation,rdf:type,epo:Organisation,object,1,1,1,1,1,1
epo:Procedure,epo:applies,epo:AccessTerms,object,1,1,1,1,1,1
epo:Procedure,epo:isResponsiblityOf,epo:Buyer,object,1,1,1,1,1,1
epo:Procedure,rdf:type,epo:Procedure,object,1,1,1,1,1,1
epo:SubmissionTerm,epo:isAppliedBy,reg2015:Procedure,object,1,1,1,1,1,1
epo:SubmissionTerm,rdf:type,epo:SubmissionTerm,object,1,1,1,1,1,1
skos:Concept,rdf:type,skos:Concept,object,3,1,3,1,1,1
