"stype","p","ootype","propType","scnt","ocnt","cnt","min_sp","max_sp","avg_sp"
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","object",643,1,643,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#alias","http://www.w3.org/2001/XMLSchema#string","data",643,643,643,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","object",304,905,905,2,6,5.973480662983425
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","object",88,264,264,3,3,3
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","object",304,905,905,2,6,5.973480662983425
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasCorporateBody",,"data",32,28,32,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasEuProgramme",,"data",102,45,102,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasItem","https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","object",251,896,896,1,28,8.160714285714286
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading",,"data",643,12820,14789,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#legal",,"data",331,6288,7613,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#reference",,"data",55,1153,1265,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark",,"data",367,8006,8431,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark","http://www.w3.org/2001/XMLSchema#string","data",2,10,10,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","object",128,1,128,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","https://webgate.acceptance.ec.testa.eu/euodp/bud#alias","http://www.w3.org/2001/XMLSchema#string","data",128,128,128,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasArticle","https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","object",128,643,643,1,30,8.110419906687403
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading",,"data",128,2872,2910,4,23,22.94020618556701
