subject,predicate,object
http://eurovoc.europa.eu/schema#PreferredTerm,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#PreferredTerm
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#PreferredTerm,http://eurovoc.europa.eu/schema#termReleasedWithVersion,http://www.w3.org/2001/XMLSchema#string
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#termReleasedWithVersion,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#PreferredTerm,http://www.w3.org/2008/05/skos-xl#literalForm,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/2008/05/skos-xl#literalForm,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#termReleasedWithVersion,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/2008/05/skos-xl#literalForm,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#EquivalenceRelationship,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#EquivalenceRelationship
http://eurovoc.europa.eu/schema#EquivalenceRelationship,http://eurovoc.europa.eu/schema#UF,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://eurovoc.europa.eu/schema#EquivalenceRelationship,http://eurovoc.europa.eu/schema#UF,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#EquivalenceRelationship,http://eurovoc.europa.eu/schema#USE,http://eurovoc.europa.eu/schema#PreferredTerm
http://eurovoc.europa.eu/schema#EquivalenceRelationship,http://eurovoc.europa.eu/schema#USE,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#fullName,http://eurovoc.europa.eu/schema#PreferredTerm
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#fullName,http://www.w3.org/2008/05/skos-xl#Label
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#fullName,http://eurovoc.europa.eu/schema#PreferredTerm
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#fullName,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/2008/05/skos-xl#labelRelation,http://eurovoc.europa.eu/schema#PreferredTerm
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/2008/05/skos-xl#labelRelation,http://www.w3.org/2008/05/skos-xl#Label
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/2008/05/skos-xl#labelRelation,http://eurovoc.europa.eu/schema#PreferredTerm
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/2008/05/skos-xl#labelRelation,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#PreferredTerm,http://eurovoc.europa.eu/schema#acronym,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://eurovoc.europa.eu/schema#PreferredTerm,http://eurovoc.europa.eu/schema#acronym,http://www.w3.org/2008/05/skos-xl#Label
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#acronym,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#acronym,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#PreferredTerm,http://www.w3.org/2008/05/skos-xl#labelRelation,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://eurovoc.europa.eu/schema#PreferredTerm,http://www.w3.org/2008/05/skos-xl#labelRelation,http://www.w3.org/2008/05/skos-xl#Label
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/2008/05/skos-xl#labelRelation,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#related,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#related,http://www.w3.org/2004/02/skos/core#Concept
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#related,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#related,http://www.w3.org/2004/02/skos/core#Concept
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2008/05/skos-xl#prefLabel,http://eurovoc.europa.eu/schema#PreferredTerm
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label
