s,p,o,count
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/2004/02/skos/core#notation,http://eurovoc.europa.eu,21
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#related,http://eurovoc.europa.eu/schema#Country,10
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://purl.org/dc/terms/hasPart,http://eurovoc.europa.eu/schema#MicroThesaurus,127
http://eurovoc.europa.eu/schema#MicroThesaurus,http://eurovoc.europa.eu/schema#domain,http://www.w3.org/2004/02/skos/core#Concept,127
http://eurovoc.europa.eu/schema#MicroThesaurus,http://purl.org/dc/terms/isPartOf,http://eurovoc.europa.eu/schema#Thesaurus,127
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://eurovoc.europa.eu/schema#ThesaurusConcept,1098
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label,3458
http://eurovoc.europa.eu/schema#Language,http://eurovoc.europa.eu/schema#language,http://www.w3.org/2001/XMLSchema#string,24
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://purl.org/dc/terms/isPartOf,http://www.w3.org/2004/02/skos/core#ConceptScheme,127
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://purl.org/dc/terms/identifier,http://www.w3.org/2001/XMLSchema#string,130
http://eurovoc.europa.eu/schema#MicroThesaurus,http://publications.europa.eu/ontology/euvoc#domain,http://eurovoc.europa.eu/schema#Domain,127
http://www.w3.org/2008/05/skos-xl#Label,http://purl.org/dc/terms/modified,http://www.w3.org/2001/XMLSchema#date,16744
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://eurovoc.europa.eu/schema#hasPolyHierarchy,http://www.w3.org/2001/XMLSchema#boolean,1
http://eurovoc.europa.eu/schema#Domain,http://publications.europa.eu/ontology/euvoc#status,,21
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,3433
http://eurovoc.europa.eu/schema#Thesaurus,http://eurovoc.europa.eu/schema#supportedLanguage,http://eurovoc.europa.eu/schema#Language,24
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2004/02/skos/core#ConceptScheme,21
http://eurovoc.europa.eu/schema#Thesaurus,http://purl.org/dc/terms/hasPart,http://eurovoc.europa.eu/schema#MicroThesaurus,127
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string,193877
http://eurovoc.europa.eu/schema#MicroThesaurus,http://publications.europa.eu/ontology/euvoc#domain,http://publications.europa.eu/ontology/euvoc#DomainEurovoc,127
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#MicroThesaurus,21
