s,p,o,count
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#fullName,http://www.w3.org/2008/05/skos-xl#Label,3271
http://eurovoc.europa.eu/schema#PreferredTerm,http://eurovoc.europa.eu/schema#shortName,http://www.w3.org/2008/05/skos-xl#Label,60
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#broaderTransitive,http://eurovoc.europa.eu/schema#ThesaurusConcept,6156
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/elements/1.1/identifier,http://www.w3.org/2001/XMLSchema#string,6643
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#Thesaurus,6643
http://eurovoc.europa.eu/schema#Country,http://purl.org/dc/terms/modified,http://www.w3.org/2001/XMLSchema#dateTime,4
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string,219
http://eurovoc.europa.eu/schema#PreferredTerm,http://purl.org/dc/terms/modified,http://www.w3.org/2001/XMLSchema#dateTime,11
http://eurovoc.europa.eu/schema#Country,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#dateTime,6
http://eurovoc.europa.eu/schema#CompoundEquivalence,http://eurovoc.europa.eu/schema#preferredTermComponent,http://www.w3.org/2008/05/skos-xl#Label,88
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2008/05/skos-xl#altLabel,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,157400
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/2004/02/skos/core#historyNote,,4
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#shortName,http://eurovoc.europa.eu/schema#PreferredTerm,41
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#Country,480
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#fullName,http://eurovoc.europa.eu/schema#PreferredTerm,1174
http://www.w3.org/2008/05/skos-xl#Label,http://purl.org/dc/terms/modified,http://www.w3.org/2001/XMLSchema#dateTime,11
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#translationOf,http://www.w3.org/2008/05/skos-xl#Label,148
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#MicroThesaurus,6666
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://eurovoc.europa.eu/schema#useInstead,http://eurovoc.europa.eu/schema#ThesaurusConcept,23
http://eurovoc.europa.eu/schema#CompoundEquivalence,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#CompoundEquivalence,44
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/2004/02/skos/core#definition,,87
http://eurovoc.europa.eu/schema#EquivalenceRelationship,http://eurovoc.europa.eu/schema#UF,http://www.w3.org/2008/05/skos-xl#Label,164201
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2008/05/skos-xl#altLabel,http://www.w3.org/2008/05/skos-xl#Label,157488
http://eurovoc.europa.eu/schema#Thesaurus,http://eurovoc.europa.eu/schema#supportedLanguage,http://eurovoc.europa.eu/schema#Language,24
http://eurovoc.europa.eu/schema#CompoundEquivalence,http://eurovoc.europa.eu/schema#compoundNonPreferredTerm,http://eurovoc.europa.eu/schema#CompoundNonPreferredTerm,44
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2008/05/skos-xl#Label,658872
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#broader,http://eurovoc.europa.eu/schema#Country,10
http://eurovoc.europa.eu/schema#Language,http://eurovoc.europa.eu/schema#language,http://www.w3.org/2001/XMLSchema#string,24
http://eurovoc.europa.eu/schema#Country,http://purl.org/dc/elements/1.1/identifier,http://www.w3.org/2001/XMLSchema#string,240
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://eurovoc.europa.eu/schema#useInstead,http://www.w3.org/2004/02/skos/core#Concept,26
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#MicroThesaurus,7234
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://purl.org/dc/elements/1.1/identifier,http://www.w3.org/2001/XMLSchema#string,127
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,5747
http://eurovoc.europa.eu/schema#Country,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string,6
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#acronym,http://www.w3.org/2008/05/skos-xl#Label,2261
http://eurovoc.europa.eu/schema#Export,http://eurovoc.europa.eu/schema#exportVersion,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,1
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#Thesaurus,240
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/2008/05/skos-xl#labelRelation,http://www.w3.org/2008/05/skos-xl#Label,7214
http://eurovoc.europa.eu/schema#PreferredTerm,http://eurovoc.europa.eu/schema#fullName,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,262
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/2004/02/skos/core#scopeNote,,75
http://eurovoc.europa.eu/schema#MicroThesaurus,http://eurovoc.europa.eu/schema#toBeTranslated,http://www.w3.org/2001/XMLSchema#string,126
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://eurovoc.europa.eu/schema#domain,http://eurovoc.europa.eu/schema#Domain,127
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#termReleasedWithVersion,http://www.w3.org/2001/XMLSchema#string,164201
http://eurovoc.europa.eu/schema#Domain,http://eurovoc.europa.eu/schema#hasPolyHierarchy,http://www.w3.org/2001/XMLSchema#boolean,21
http://eurovoc.europa.eu/schema#Domain,http://purl.org/dc/elements/1.1/identifier,http://www.w3.org/2001/XMLSchema#string,21
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#broader,http://eurovoc.europa.eu/schema#ThesaurusConcept,798
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#definition,,88
http://eurovoc.europa.eu/schema#PreferredTerm,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#PreferredTerm,330382
http://eurovoc.europa.eu/schema#PreferredTerm,http://eurovoc.europa.eu/schema#fullName,http://www.w3.org/2008/05/skos-xl#Label,262
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#shortName,http://eurovoc.europa.eu/schema#PreferredTerm,41
http://eurovoc.europa.eu/schema#EquivalenceRelationship,http://eurovoc.europa.eu/schema#UF,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,164201
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#shortName,http://www.w3.org/2008/05/skos-xl#Label,158
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#toBeTranslated,http://www.w3.org/2001/XMLSchema#string,5331
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#fullName,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,2097
http://eurovoc.europa.eu/schema#Domain,http://eurovoc.europa.eu/schema#toBeTranslated,http://www.w3.org/2001/XMLSchema#string,21
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#historyNote,,1311
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#broader,http://www.w3.org/2004/02/skos/core#Concept,798
http://eurovoc.europa.eu/schema#EquivalenceRelationship,http://eurovoc.europa.eu/schema#USE,http://eurovoc.europa.eu/schema#PreferredTerm,76012
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#MicroThesaurus,254
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#shortName,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,57
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#acronym,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,2040
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/2004/02/skos/core#historyNote,,4
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept,13766
http://www.w3.org/2004/02/skos/core#Concept,http://eurovoc.europa.eu/schema#useInstead,http://eurovoc.europa.eu/schema#ThesaurusConcept,23
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#broader,http://eurovoc.europa.eu/schema#ThesaurusConcept,6114
http://eurovoc.europa.eu/schema#PreferredTerm,http://eurovoc.europa.eu/schema#shortName,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,60
