stype,p,ootype,propType,scnt,ocnt,cnt,min_sp,max_sp,avg_sp
http://eurovoc.europa.eu/schema#Country,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string,data,240,4,240,1,1,1.0
http://eurovoc.europa.eu/schema#Country,http://eurovoc.europa.eu/schema#isoCountryCode,http://www.w3.org/2001/XMLSchema#string,data,240,239,240,1,1,1.0
http://eurovoc.europa.eu/schema#Country,http://eurovoc.europa.eu/schema#toBeTranslated,http://www.w3.org/2001/XMLSchema#string,data,31,1,31,1,1,1.0
http://eurovoc.europa.eu/schema#Country,http://publications.europa.eu/ontology/euvoc#status,,data,240,1,240,1,1,1.0
http://eurovoc.europa.eu/schema#Country,http://purl.org/dc/elements/1.1/identifier,http://eurovoc.europa.eu,data,240,240,240,1,1,1.0
http://eurovoc.europa.eu/schema#Country,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#date,data,240,4,240,1,1,1.0
http://eurovoc.europa.eu/schema#Country,http://purl.org/dc/terms/replaces,http://eurovoc.europa.eu/schema#ThesaurusConcept,object,4,14,14,1,7,4.857142857142857142857143
http://eurovoc.europa.eu/schema#Country,http://purl.org/dc/terms/replaces,http://www.w3.org/2004/02/skos/core#Concept,object,4,14,14,1,7,4.857142857142857142857143
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#Country,object,240,3,720,3,3,3.0
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string,data,240,4,240,1,1,1.0
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,data,237,7262,7262,1,174,48.706141558799228862572294
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#broader,http://eurovoc.europa.eu/schema#ThesaurusConcept,object,240,84,857,1,9,4.316219369894982497082847
