stype,p,ootype,propType,scnt,ocnt,cnt,min_sp,max_sp,avg_sp
http://eurovoc.europa.eu/schema#CompoundEquivalence,http://eurovoc.europa.eu/schema#compoundNonPreferredTerm,http://eurovoc.europa.eu/schema#CompoundNonPreferredTerm,object,44,44,44,1,1,1.0
http://eurovoc.europa.eu/schema#CompoundEquivalence,http://eurovoc.europa.eu/schema#compoundNonPreferredTerm,http://www.w3.org/2008/05/skos-xl#Label,object,44,44,44,1,1,1.0
http://eurovoc.europa.eu/schema#CompoundEquivalence,http://eurovoc.europa.eu/schema#preferredTermComponent,http://eurovoc.europa.eu/schema#PreferredTerm,object,44,44,88,2,2,2.0
http://eurovoc.europa.eu/schema#CompoundEquivalence,http://eurovoc.europa.eu/schema#preferredTermComponent,http://www.w3.org/2008/05/skos-xl#Label,object,44,44,88,2,2,2.0
http://eurovoc.europa.eu/schema#CompoundEquivalence,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#CompoundEquivalence,object,44,1,44,1,1,1.0
http://eurovoc.europa.eu/schema#CompoundNonPreferredTerm,http://eurovoc.europa.eu/schema#termReleasedWithVersion,http://www.w3.org/2001/XMLSchema#string,data,44,1,44,1,1,1.0
http://eurovoc.europa.eu/schema#CompoundNonPreferredTerm,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#dateTime,data,2,1,2,1,1,1.0
http://eurovoc.europa.eu/schema#CompoundNonPreferredTerm,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#CompoundNonPreferredTerm,object,44,2,88,2,2,2.0
http://eurovoc.europa.eu/schema#CompoundNonPreferredTerm,http://www.w3.org/2008/05/skos-xl#literalForm,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,data,44,44,44,1,1,1.0
http://eurovoc.europa.eu/schema#Country,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string,data,6,1,6,1,1,1.0
http://eurovoc.europa.eu/schema#Country,http://eurovoc.europa.eu/schema#isoCountryCode,http://www.w3.org/2001/XMLSchema#string,data,240,239,240,1,1,1.0
