stype,p,ootype,propType,scnt,ocnt,cnt,min_sp,max_sp,avg_sp
http://data.europa.eu/eli/ontology#LegalResource,http://data.europa.eu/eli/ontology#date_document,http://www.w3.org/2001/XMLSchema#date,data,44,30,44,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://data.europa.eu/eli/ontology#first_date_entry_in_force,http://www.w3.org/2001/XMLSchema#date,data,43,27,43,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://lemon-model.net/lemon#context,http://lemon-model.net/lemon#LexicalContext,object,65,2,128,1,2,1.984375
http://data.europa.eu/eli/ontology#LegalResource,http://lemon-model.net/lemon#context,http://publications.europa.eu/ontology/euvoc#UseContext,object,65,2,128,1,2,1.984375
http://data.europa.eu/eli/ontology#LegalResource,http://lemon-model.net/lemon#context,http://www.w3.org/2004/02/skos/core#Concept,object,65,2,128,1,2,1.984375
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/authority/authority-code,http://www.w3.org/2001/XMLSchema#string,data,65,65,65,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/authority/op-code,http://www.w3.org/2001/XMLSchema#string,data,66,66,66,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/authority/op-mapped-code,http://publications.europa.eu/ontology/authority/MappedCode,object,27,62,62,1,5,2.870967741935483870967742
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/euvoc#endDate,http://www.w3.org/2001/XMLSchema#date,data,22,13,22,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/euvoc#officialJournalDate,http://www.w3.org/2001/XMLSchema#date,data,53,31,53,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/euvoc#officialJournalNumber,http://www.w3.org/2001/XMLSchema#string,data,53,32,53,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/euvoc#officialJournalSeries,http://www.w3.org/2001/XMLSchema#string,data,53,3,53,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/euvoc#signatureLocation,http://publications.europa.eu/ontology/euvoc#Place,object,35,13,37,1,2,1.108108108108108108108108
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/euvoc#signatureLocation,http://www.opengis.net/ont/geosparql#SpatialObject,object,35,13,37,1,2,1.108108108108108108108108
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/euvoc#signatureLocation,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,object,35,13,37,1,2,1.108108108108108108108108
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/euvoc#signatureLocation,http://www.w3.org/2004/02/skos/core#Concept,object,35,13,37,1,2,1.108108108108108108108108
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/euvoc#startDate,http://www.w3.org/2001/XMLSchema#date,data,65,39,65,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/euvoc#status,http://publications.europa.eu/ontology/euvoc#ConceptStatus,object,66,3,66,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/euvoc#status,http://www.w3.org/2004/02/skos/core#Concept,object,66,3,66,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/euvoc#xlDefinition,http://publications.europa.eu/ontology/euvoc#XlNote,object,6,10,10,1,2,1.8
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/ontology/euvoc#xlNotation,http://publications.europa.eu/ontology/euvoc#XlNotation,object,54,105,105,1,5,2.695238095238095238095238
http://data.europa.eu/eli/ontology#LegalResource,http://publications.europa.eu/resource/authority/op-code,http://www.w3.org/2001/XMLSchema#string,data,66,66,66,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://purl.org/dc/elements/1.1/identifier,http://www.w3.org/2001/XMLSchema#string,data,1,1,1,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#date,data,66,8,66,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://purl.org/dc/terms/dateAccepted,http://www.w3.org/2001/XMLSchema#date,data,65,7,65,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://purl.org/dc/terms/dateSubmitted,http://www.w3.org/2001/XMLSchema#date,data,65,7,65,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://purl.org/dc/terms/isReplacedBy,http://data.europa.eu/eli/ontology#LegalResource,object,22,22,22,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://purl.org/dc/terms/isReplacedBy,http://publications.europa.eu/ontology/euvoc#Treaty,object,22,22,22,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://purl.org/dc/terms/isReplacedBy,http://www.w3.org/2004/02/skos/core#Concept,object,22,22,22,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://purl.org/dc/terms/replaces,http://data.europa.eu/eli/ontology#LegalResource,object,22,22,22,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://purl.org/dc/terms/replaces,http://publications.europa.eu/ontology/euvoc#Treaty,object,22,22,22,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://purl.org/dc/terms/replaces,http://www.w3.org/2004/02/skos/core#Concept,object,22,22,22,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://purl.org/dc/terms/type,http://publications.europa.eu/ontology/euvoc#TreatyClassification,object,65,5,65,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://purl.org/dc/terms/type,http://www.w3.org/2004/02/skos/core#Concept,object,65,5,65,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://data.europa.eu/eli/ontology#LegalResource,object,66,3,198,3,3,3.0
http://data.europa.eu/eli/ontology#LegalResource,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string,data,66,1,66,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,data,6,10,10,1,2,1.8
http://data.europa.eu/eli/ontology#LegalResource,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2002/07/owl#Ontology,object,66,1,66,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,object,66,1,66,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://www.w3.org/2004/02/skos/core#notation,http://publications.europa.eu/ontology/datatype#Pegase,data,8,10,10,1,4,2.5
http://data.europa.eu/eli/ontology#LegalResource,http://www.w3.org/2004/02/skos/core#notation,http://publications.europa.eu/resource/authority/fd_020,data,7,9,9,1,4,2.444444444444444444444444
http://data.europa.eu/eli/ontology#LegalResource,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,data,66,1491,1577,23,24,23.897907419150285351934052
http://data.europa.eu/eli/ontology#LegalResource,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2002/07/owl#Ontology,object,65,1,65,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2004/02/skos/core#ConceptScheme,object,65,1,65,1,1,1.0
http://data.europa.eu/eli/ontology#LegalResource,http://www.w3.org/2008/05/skos-xl#altLabel,http://www.w3.org/2008/05/skos-xl#Label,object,54,2011,2011,1,74,51.048731974142217802088513
http://data.europa.eu/eli/ontology#LegalResource,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label,object,66,1577,1577,23,24,23.897907419150285351934052
http://lemon-model.net/lemon#LexicalContext,http://publications.europa.eu/ontology/authority/authority-code,http://www.w3.org/2001/XMLSchema#string,data,17,17,17,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://publications.europa.eu/ontology/authority/op-code,http://www.w3.org/2001/XMLSchema#string,data,18,18,18,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://publications.europa.eu/ontology/euvoc#startDate,http://www.w3.org/2001/XMLSchema#date,data,17,1,17,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://publications.europa.eu/ontology/euvoc#status,http://publications.europa.eu/ontology/euvoc#ConceptStatus,object,18,1,18,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://publications.europa.eu/ontology/euvoc#status,http://www.w3.org/2004/02/skos/core#Concept,object,18,1,18,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://publications.europa.eu/ontology/euvoc#xlChangeNote,http://publications.europa.eu/ontology/euvoc#XlNote,object,7,7,7,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://publications.europa.eu/resource/authority/op-code,http://www.w3.org/2001/XMLSchema#string,data,18,18,18,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://purl.org/dc/elements/1.1/identifier,http://www.w3.org/2001/XMLSchema#string,data,1,1,1,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#date,data,18,2,18,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://purl.org/dc/terms/dateAccepted,http://www.w3.org/2001/XMLSchema#date,data,17,2,17,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://purl.org/dc/terms/dateSubmitted,http://www.w3.org/2001/XMLSchema#date,data,17,2,17,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://lemon-model.net/lemon#LexicalContext,object,18,3,54,3,3,3.0
http://lemon-model.net/lemon#LexicalContext,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string,data,18,1,18,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://www.w3.org/2004/02/skos/core#changeNote,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,data,7,5,7,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2002/07/owl#Ontology,object,18,1,18,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,object,18,1,18,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,data,18,41,41,1,24,14.463414634146341463414634
http://lemon-model.net/lemon#LexicalContext,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2002/07/owl#Ontology,object,17,1,17,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2004/02/skos/core#ConceptScheme,object,17,1,17,1,1,1.0
http://lemon-model.net/lemon#LexicalContext,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label,object,18,41,41,1,24,14.463414634146341463414634
http://lexvo.org/ontology#Script,http://publications.europa.eu/ontology/authority/authority-code,http://www.w3.org/2001/XMLSchema#string,data,3,3,3,1,1,1.0
